,Rent,Occupancy,Attached BathRoom,AB,TV,AC,CUPBOARD,BEDDING,GEASER
351,5500,THREE,False,False,False,False,False,False,False
352,12500,DOUBLE,False,False,False,False,False,False,False
353,10500,THREE,False,False,False,False,False,False,False
354,8500,DOUBLE,False,False,False,False,False,False,False
355,7500,THREE,False,False,False,False,False,False,False
356,7000,FOUR,False,False,False,False,False,False,False
357,7700,FOUR,False,False,False,False,False,False,False
358,9500,DOUBLE,True,True,False,True,True,True,True
359,9000,THREE,True,True,False,True,True,True,True
360,10000,DOUBLE,False,True,False,True,True,True,True
361,18200,SINGLE,False,False,False,False,False,False,True
362,13000,DOUBLE,False,False,False,False,False,False,True
363,10200,THREE,False,False,False,False,False,False,True
364,13500,DOUBLE,False,False,False,False,False,False,False
365,11000,THREE,False,False,True,False,True,False,False
366,7500,THREE,False,False,False,False,False,False,False
367,9000,SINGLE,True,True,False,False,True,True,True
368,8000,DOUBLE,True,True,False,False,True,True,True
369,7000,THREE,False,False,False,False,False,False,False
370,9000,SINGLE,True,True,False,False,True,True,True
371,8000,DOUBLE,True,True,False,False,True,True,True
372,7000,THREE,False,False,False,False,False,False,False
373,7000,DOUBLE,False,False,False,False,False,False,False
374,6500,THREE,False,False,False,False,False,False,False
375,0,SINGLE,False,,,,,,
376,5000,DOUBLE,False,True,False,False,True,True,True
377,18000,SINGLE,False,False,False,False,False,False,False
378,10500,DOUBLE,False,False,False,False,False,False,False
379,8500,THREE,False,False,False,False,False,False,False
380,7000,DOUBLE,False,False,False,False,False,False,False
381,0,SINGLE,False,False,False,False,False,False,False
382,7500,DOUBLE,True,True,True,True,False,True,False
383,7500,THREE,True,True,True,True,False,True,False
384,6500,FOUR,True,True,True,True,False,True,False
385,6500,THREE,False,False,False,False,False,False,False
386,8000,SINGLE,False,False,False,False,False,False,False
387,7000,DOUBLE,False,False,False,False,False,False,False
388,6000,THREE,False,False,False,False,False,False,False
389,10800,SINGLE,False,False,False,False,False,False,False
390,8500,DOUBLE,False,False,False,False,False,False,False
391,7500,THREE,False,False,False,False,False,False,False
392,8500,DOUBLE,False,False,False,False,False,False,False
393,8500,THREE,False,False,False,False,False,False,False
